,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,roles
Chennai Super Kings,Chennai Super Kings,NA,101,59,35,NA,37,24,6,31,39,2,17,NA,NA,32.6,22.53,2,1,r
Delhi Capitals,Delhi Capitals,44,50,20,NA,50,25,4,20,27,NA,NA,14,NA,NA,32.6,22.53,2,1,os
Kings XI Punjab,Kings XI Punjab,79,76,65,74,96,37,70,NA,6,22,4,18,NA,39,32.6,22.53,2,1,b
Kolkata Knight Riders,Kolkata Knight Riders,66,104,63,50,43,36,64,55,26,32,NA,21,NA,NA,32.6,22.53,2,1,b
Mumbai Indians,Mumbai Indians,63,89,46,54,52,42,68,8,58,15,5,22,12,7,32.6,22.53,2,1,os
Rajasthan Royals,Rajasthan Royals,75,106,57,127,73,36,62,NA,28,6,4,24,NA,NA,32.6,22.53,2,1,r
Royal Challengers Bangalore,Royal Challengers Bangalore,84,61,82,95,71,38,50,1,50,26,3,7,0,NA,32.6,22.53,2,1,os
Sunrisers Hyderabad,Sunrisers Hyderabad,67,117,100,52,67,20,25,5,63,5,NA,23,15,10,32.6,22.53,2,1,r
Chennai Super Kings1,Chennai Super Kings,NA,41.4,20.4,26.7,NA,24.8,11.8,6,28,25,2,8.9,NA,NA,32.6,22.53,2,1,ars
Delhi Capitals1,Delhi Capitals,85,31.3,30,NA,44.5,25,4,10,27,NA,NA,26,NA,NA,32.6,22.53,2,1,s
Kings XI Punjab1,Kings XI Punjab,54.1,26.1,26.8,27.3,45.9,27.4,39,NA,1.4,21.3,4,27,NA,39,32.6,22.53,2,1,os
Kolkata Knight Riders1,Kolkata Knight Riders,58.8,31.4,23.3,21.3,25,34.8,35.2,55,16.3,28,NA,28.5,NA,NA,32.6,22.53,2,1,ars
Mumbai Indians1,Mumbai Indians,36,22.7,22.2,24.1,22.3,18.1,21.6,8,27.3,17,7,7.4,14,2.3,32.6,22.53,2,1,bl
Rajasthan Royals1,Rajasthan Royals,38.5,39.5,25.9,31.7,25.8,29.5,39.6,NA,14.8,4,4,9,NA,NA,32.6,22.53,2,1,bl
Royal Challengers Bangalore1,Royal Challengers Bangalore,40.2,22.8,31.7,27.2,42,19,17.1,1,31,36,3,10.5,0,NA,32.6,22.53,2,1,b
Sunrisers Hyderabad1,Sunrisers Hyderabad,65.4,37.4,49.7,17.9,27,19.8,18.2,5,49,5,NA,12,15,10,32.6,22.53,2,1,b
,,,,,,,,,,,,,,,,,,,,os
,,,,,,,,,,,,,,,,,,,,os