,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,roles
Chennai Super Kings,Chennai Super Kings,87,71,0,42,64,25,42,NA,30,40,6,53,27,r
Delhi Capitals,Delhi Capitals,30,26,NA,NA,21,32,37,NA,NA,NA,NA,35,27,b
Kings XI Punjab,Kings XI Punjab,79,57,1,31,83,31,32,2,9,29,1,60,27,s
Kolkata Knight Riders,Kolkata Knight Riders,109,59,1,52,51,91,45,NA,7,62,0,30,27,b
Mumbai Indians,Mumbai Indians,45,46,NA,57,NA,NA,NA,NA,6,48,5,51,27,os
Rajasthan Royals,Rajasthan Royals,73,72,NA,53,70,36,7,NA,12,58,NA,81,27,r
Royal Challengers Bangalore,Royal Challengers Bangalore,94,38,NA,52,70,50,37,1,4,39,NA,108,27,ars
Sunrisers Hyderabad,Sunrisers Hyderabad,67,34,10,26,78,18,49,6,NA,61,NA,69,27,r
Chennai Super Kings1,Chennai Super Kings,29.5,30.8,0,20.4,33.5,44.7,22.8,NA,17.5,30.3,7,16.1,6.2,os
Delhi Capitals1,Delhi Capitals,22,14,NA,NA,21,16,69,NA,NA,NA,NA,31,6.2,b
Kings XI Punjab1,Kings XI Punjab,32.8,24.2,1,14.9,32.1,21.8,23.2,2,9,19.8,1,48,6.2,os
Kolkata Knight Riders1,Kolkata Knight Riders,45.8,55.7,1,25.2,25.9,81.7,27,NA,4.5,33,0,13,6.2,wk
Mumbai Indians1,Mumbai Indians,20.6,35.8,NA,38.2,NA,NA,NA,NA,9,29.5,5,26.8,6.2,os
Rajasthan Royals1,Rajasthan Royals,24.2,33.3,NA,48.7,25.1,30.3,6,NA,18,25,NA,46.4,6.2,
Royal Challengers Bangalore1,Royal Challengers Bangalore,30,20.6,NA,90,31.7,92.5,22.2,1,3,15.2,NA,51,6.2,
Sunrisers Hyderabad1,Sunrisers Hyderabad,19.7,20.7,10,35,39.6,10.2,31.4,16,NA,21.8,NA,39.8,6.2,