,t,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,roles
Chennai Super Kings,Chennai Super Kings,73,105,31,14,67,13,2,26,16,4,2,3,13,42,48,r
Delhi Capitals,Delhi Capitals,41,17,27,NA,NA,1,24,32,NA,1,NA,1,NA,42,48,r
Kings XI Punjab,Kings XI Punjab,113,89,NA,12,74,9,NA,4,27,4,NA,NA,NA,42,48,b
Kolkata Knight Riders,Kolkata Knight Riders,100,63,28,13,48,1,NA,66,16,0,NA,NA,NA,42,48,os
Mumbai Indians,Mumbai Indians,92,133,6,19,68,7,9,50,52,NA,NA,8,NA,42,48,os
Rajasthan Royals,Rajasthan Royals,62,79,23,18,64,35,NA,18,26,0,0,14,NA,42,48,ars
Royal Challengers Bangalore,Royal Challengers Bangalore,NA,45,20,3,72,NA,NA,NA,27,2,NA,NA,NA,42,48,ar
Sunrisers Hyderabad,Sunrisers Hyderabad,93,89,65,1,51,1,5,65,34,3,NA,3,NA,42,48,os
Chennai Super Kings1,Chennai Super Kings,36.2,27.7,15.3,7.5,25.4,13,2,17.5,28,4,2,3,13,42,48,os
Delhi Capitals1,Delhi Capitals,32,17,27,NA,NA,1,24,32,NA,1,NA,1,NA,42,48,r
Kings XI Punjab1,Kings XI Punjab,30.1,52.3,NA,15,25.4,9,NA,4,22.7,4,NA,NA,NA,42,48,bl
Kolkata Knight Riders1,Kolkata Knight Riders,35.5,27.8,13.5,7.3,22.9,1,NA,66,7.3,0,NA,NA,NA,42,48,bl
Mumbai Indians1,Mumbai Indians,29.7,43.7,4,5.5,26.9,3.3,9,31.5,21,NA,NA,8,NA,42,48,os
Rajasthan Royals1,Rajasthan Royals,21.6,41.5,13,12.7,28.2,35,NA,19,26,0,0,14,NA,42,48,os
Royal Challengers Bangalore1,Royal Challengers Bangalore,NA,28.8,13.3,3,24,NA,NA,NA,13.7,2,NA,NA,NA,42,48,b
Sunrisers Hyderabad1,Sunrisers Hyderabad,45.8,33.2,28,1,24,1,5,25.7,35,2.5,NA,3,NA,42,48,