,teams,V1b,V2b,V3b,V4wk,V5ar,V6ars,V7wk,V8s,V9s,V10bo,V11bo,V12ar,V13ars,V14bo,V15wk,V16b
v Afghanistan,v Afghanistan,67,18,60,60,29,52,44,NA,9,NA,1,7,25,1,NA,NA
v Australia,v Australia,123,209,143,80,46,81,25,1,17,46,10,83,57,10,36,44
v Bangladesh,v Bangladesh,136,137,75,77,NA,23,58,NA,5,25,0,0,32,1,48,NA
v England,v England,122,137,97,11,NA,120,44,12,8,31,0,56,87,25,32,NA
v Hong Kong,v Hong Kong,NA,23,127,NA,NA,28,33,NA,0,9,NA,NA,NA,NA,NA,NA
v India,v India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Ireland,v Ireland,44,64,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya,v Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,154,147,75,112,45,41,64,18,15,26,0,45,77,14,32,103
v Pakistan,v Pakistan,183,140,114,57,15,9,31,NA,NA,2,1,76,52,3,NA,NA
v South Africa,v South Africa,160,150,137,26,NA,1,79,NA,2,19,NA,15,47,8,NA,30
v Sri Lanka,v Sri Lanka,139,264,132,111,NA,63,66,0,19,53,0,19,60,14,4,88
v U.A.E.,v U.A.E.,33,57,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies,v West Indies,157,162,119,102,14,40,67,3,15,18,0,46,39,19,71,71
v Zimbabwe,v Zimbabwe,115,114,116,100,NA,105,69,NA,NA,0,NA,NA,61,6,NA,NA
v Afghanistan1,v Afghanistan,67,19,60,45,29,35.5,65,NA,10,NA,1,7,25,1,NA,NA
v Australia1,v Australia,54.57,61.33,45.8,45.75,30,46.37,18.5,0.5,7,22.57,17,54,18.88,8.5,26.66,27.5
v Bangladesh1,v Bangladesh,75.55,60,39.62,77,NA,23,36.5,NA,5,17,0,0,33.66,1,48,NA
v England1,v England,45.3,50.44,32.45,6.6,NA,81.33,13.16,12,8,19.75,0,50.5,46.5,6.75,32,NA
v Hong Kong1,v Hong Kong,NA,17,127,NA,NA,28,33,NA,0,9,NA,NA,NA,NA,NA,NA
v India1,v India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Ireland1,v Ireland,78,64,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya1,v Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,59.91,33.47,32.72,68.33,45,30.28,27.83,16.5,15,9.25,0,24,46,12.5,32,72.33
v Pakistan1,v Pakistan,48.72,51.42,54.28,57,15,18,65,NA,NA,1.5,1,61,23.2,3,NA,NA
v South Africa1,v South Africa,64.35,33.3,49.87,26,NA,1,30.12,NA,2,11.2,NA,13.66,32.4,6,NA,24
v Sri Lanka1,v Sri Lanka,60,46.25,70.21,34.75,NA,27.25,25.5,0,19,17.66,0,10.6,43,14,4,54
v U.A.E.1,v U.A.E.,33,57,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v West Indies1,v West Indies,72.09,60.92,33.36,58.25,14,37.2,39.44,3,15,10.75,0,23.33,18.92,8,25.42,53.2
v Zimbabwe1,v Zimbabwe,50.6,40.33,42.6,196,NA,63,47.33,NA,NA,0,NA,NA,87.5,6,NA,NA