,teams,V1wk,V2ars,V3b,V4ars,V5b,V6ars,V7ars,V8ars,V9ars,V10ars,V11bo,V12bo,V13bo,V14bo,V15bo,V16b,V17ar,V18bo
v Afghanistan,v Afghanistan,18,66,7,0,27,80,19,11,51,49,6,NA,NA,NA,15,NA,NA,NA
v Australia,v Australia,65,100,5,0,130,53,78,NA,66,50,32,17,0,1,45,112,28,5
v Bangladesh,v Bangladesh,46,96,31,13,52,100,89,4,85,43,8,8,NA,14,51,NA,NA,4
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
v England,v England,105,115,52,138,41,151,102,10,77,63,18,58,28,19,33,5,13,0
v Hong Kong,v Hong Kong,7,33,NA,24,NA,50,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,44,48,30,114,36,10,105,20,143,46,2,18,NA,NA,8,NA,21,1
v Ireland,v Ireland,101,29,NA,NA,3,NA,122,NA,57,0,NA,NA,NA,NA,47,NA,NA,2
v Kenya,v Kenya,NA,NA,NA,NA,NA,NA,36,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand,v New Zealand,64,101,9,88,85,34,115,54,115,50,51,73,NA,0,14,NA,23,0
v Pakistan,v Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Scotland,v Scotland,NA,NA,NA,NA,NA,NA,18,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
v South Africa,v South Africa,49,69,NA,70,89,101,71,19,82,47,59,6,NA,1,45,NA,0,25
v Sri Lanka,v Sri Lanka,77,115,NA,76,56,100,140,52,86,15,11,28,NA,NA,5,74,15,1
v U.A.E.,v U.A.E.,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
v West Indies,v West Indies,60,125,NA,22,26,2,121,0,111,43,2,3,NA,NA,19,NA,NA,1
v Zimbabwe,v Zimbabwe,44,106,50,210,89,128,139,2,112,61,0,NA,NA,NA,54,NA,0,5
v Afghanistan1,v Afghanistan,13,55.5,7,0,20,58,12.33,11,51,49,6,NA,NA,NA,15,NA,NA,NA
v Australia1,v Australia,31.16,52,5,0,66.4,29,22.21,NA,26.76,40.8,27,6.33,0,1,15.16,56,21,2.5
v Bangladesh1,v Bangladesh,30.75,48.5,31,7,38.25,91.5,25.2,2.5,25.46,43,8,8,NA,14,14.2,NA,NA,3.5
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
v England1,v England,59.54,45.64,31.2,41.85,34.5,92.66,33.21,10,19.54,55,11.4,32,28,26,14.2,5,8,0
v Hong Kong1,v Hong Kong,7,33,NA,24,NA,50,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,19.25,31.6,19.5,51.75,36,6.33,45,26,46.89,71,1.5,10,NA,NA,3,NA,21,0.5
v Ireland1,v Ireland,103,29,NA,NA,3,NA,43.4,NA,55,0,NA,NA,NA,NA,47,NA,NA,2
v Kenya1,v Kenya,NA,NA,NA,NA,NA,NA,22.5,NA,26.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v New Zealand1,v New Zealand,26.71,41.5,9,44.71,50.5,23.66,29.42,29.8,22.58,25.5,14.2,25.4,NA,0,14,NA,12.6,0
v Pakistan1,v Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Scotland1,v Scotland,NA,NA,NA,NA,NA,NA,18,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
v South Africa1,v South Africa,33,59,NA,34.57,89,52.5,22.03,28,35.27,113,30,6,NA,1,13.3,NA,0,11
v Sri Lanka1,v Sri Lanka,23.53,62,NA,41,48,59.33,38.88,52,36.56,12.75,18,42,NA,NA,3,74,20,1
v U.A.E.1,v U.A.E.,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
v West Indies1,v West Indies,65.66,89.33,NA,22,12.75,2,37.81,0,42.26,22.25,3,3,NA,NA,10.42,NA,NA,1
v Zimbabwe1,v Zimbabwe,24.66,119,57,257.5,85,79,59.5,2,42.73,61,0,NA,NA,NA,35,NA,0,5