,teams,V1b,V2ars,V3ar,V4b,V5b,V6wk,V7wk,V8ar,V9ar,V10s,V11ars,V12ars,V13bo,V14bo,V15bo,V16bo
v Afghanistan,v Afghanistan,30,23,45,NA,25,2,78,47,10,NA,9,NA,4,15,0,NA
v Australia,v Australia,97,76,77,0,102,69,54,21,8,NA,26,19,56,0,0,NA
v Bangladesh,v Bangladesh,46,18,87,82,52,102,111,80,NA,NA,5,30,10,20,0,0
v Bermuda,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada,v Canada,NA,NA,21,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
v England,v England,4,36,85,49,139,77,59,54,6,NA,48,NA,26,10,7,NA
v Hong Kong,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India,v India,10,29,139,20,80,89,64,44,1,NA,72,58,19,11,0,NA
v Ireland,v Ireland,NA,3,49,NA,8,51,135,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya,v Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
v New Zealand,v New Zealand,52,36,95,NA,87,20,102,140,0,7,23,66,17,8,6,NA
v Pakistan,v Pakistan,16,1,93,4,102,27,116,65,1,25,19,52,19,26,3,NA
v Scotland,v Scotland,77,7,51,74,44,66,24,9,15,NA,34,NA,32,12,NA,NA
v South Africa,v South Africa,0,84,97,30,69,62,81,69,78,8,18,NA,15,20,5,0
v Sri Lanka,v Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v U.A.E.,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
v West Indies,v West Indies,52,58,55,127,81,119,99,38,17,NA,8,17,8,1,0,NA
v Zimbabwe,v Zimbabwe,NA,78,52,NA,15,86,80,64,NA,NA,7,NA,5,5,NA,NA
v Afghanistan1,v Afghanistan,26.5,11.5,37,NA,10,1,42.66,48,10,NA,9,NA,2.5,15,0,NA
v Australia1,v Australia,97,29.4,28.44,0,27.81,34,24,10.36,8,NA,9.71,11,6.57,0,0,NA
v Bangladesh1,v Bangladesh,32.33,9,67.66,31.66,40.2,43.12,40.45,25.4,NA,NA,5,21.33,15.5,5.5,0,0
v Bermuda1,v Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Canada1,v Canada,NA,NA,21,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
v England1,v England,2.5,34.66,51,49,69.6,30.66,16.8,21.2,6,NA,23.66,NA,6.1,12.5,10,NA
v Hong Kong1,v Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v India1,v India,10,29,53.57,20,36.42,24.83,19.85,15.8,1,NA,51.75,36,9,6.5,0,NA
v Ireland1,v Ireland,NA,3,34.33,NA,8,29.5,55.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Kenya1,v Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Netherlands1,v Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
v New Zealand1,v New Zealand,17.37,20,35.84,NA,23.93,9.5,35.6,25.15,0,7,8.71,39,5.88,6.25,9,NA
v Pakistan1,v Pakistan,16,1,43.66,2,38.83,13,35.66,14.04,1,12.25,14.75,16.11,7.11,15.25,5,NA
v Scotland1,v Scotland,68.5,7,25,74,48,66,24,5.33,15,NA,47,NA,33,12,NA,NA
v South Africa1,v South Africa,0,22.84,32.8,20.2,32.77,25.76,29.53,28.92,42.33,7.5,18,NA,2.91,9,5,0
v Sri Lanka1,v Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v U.A.E.1,v U.A.E.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
v West Indies1,v West Indies,32.25,29.6,34.16,77.5,48.25,55.16,36,28,7.33,NA,6.5,12,4,1,0,NA
v Zimbabwe1,v Zimbabwe,NA,78,37.42,NA,15,31.42,41,38,NA,NA,7,NA,5,5,NA,NA