,teams,V1ar,V2wk,V3b,V4b,V5ars,V6bo,V7bo,V8ars,V9wk,V10ars,V11ars,V12bo,V13ars
v Afghanistan,v Afghanistan,58,9,73,NA,29,3,NA,27,74,141,125,1,102
v Australia,v Australia,NA,6,0,NA,NA,2,NA,NA,11,33,65,3,28
v Bangladesh,v Bangladesh,57,45,46,51,8,9,13,34,19,66,118,55,129
v Bermuda,v Bermuda,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA
v Canada,v Canada,37,NA,85,NA,NA,3,NA,NA,NA,NA,37,NA,30
v England,v England,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,25,NA,NA
v Hong Kong,v Hong Kong,NA,NA,25,NA,NA,NA,NA,NA,NA,10,46,NA,10
v India,v India,82,27,67,NA,17,NA,NA,8,32,82,138,13,51
v Ireland,v Ireland,51,17,105,0,2,2,NA,25,28,69,121,33,96
v Kenya,v Kenya,6,41,66,NA,32,1,NA,NA,NA,NA,92,NA,63
v Netherlands,v Netherlands,NA,NA,84,NA,NA,NA,NA,NA,NA,85,71,21,16
v New Zealand,v New Zealand,42,24,130,NA,NA,NA,NA,NA,NA,100,128,NA,63
v Pakistan,v Pakistan,99,0,52,34,18,1,NA,4,67,100,84,44,71
v Scotland,v Scotland,NA,NA,57,NA,NA,NA,NA,NA,NA,58,44,NA,70
v South Africa,v South Africa,64,NA,27,NA,7,1,NA,NA,13,35,145,29,69
v Sri Lanka,v Sri Lanka,58,35,69,NA,0,6,2,NA,NA,81,119,19,65
v U.A.E.,v U.A.E.,NA,78,64,NA,35,NA,NA,NA,NA,46,47,NA,109
v West Indies,v West Indies,73,17,92,NA,9,2,NA,13,NA,77,138,15,76
v Zimbabwe,v Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
v Afghanistan1,v Afghanistan,19,9,27.93,NA,21,1.33,NA,18.33,27.18,34.44,44.88,1,36.87
v Australia1,v Australia,NA,6,0,NA,NA,2,NA,NA,11,27.5,30.5,3,11
v Bangladesh1,v Bangladesh,15.7,17.84,22.18,18.66,5,5.4,17,21.66,12,28.23,28.77,25.66,39.6
v Bermuda1,v Bermuda,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5,NA,NA
v Canada1,v Canada,37,NA,85,NA,NA,3,NA,NA,NA,NA,18.5,NA,30
v England1,v England,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13,NA,NA
v Hong Kong1,v Hong Kong,NA,NA,25,NA,NA,NA,NA,NA,NA,10,46,NA,10
v India1,v India,32.14,18.5,57.5,NA,10.5,NA,NA,6,13.66,24.5,35.7,11,21.55
v Ireland1,v Ireland,22.83,17,44.88,0,2,2,NA,14,10.6,44.83,31.77,17.5,44.09
v Kenya1,v Kenya,6,25,66,NA,32,1,NA,NA,NA,NA,61,NA,50.66
v Netherlands1,v Netherlands,NA,NA,50,NA,NA,NA,NA,NA,NA,96,61,37,9
v New Zealand1,v New Zealand,24.4,7,61.66,NA,NA,NA,NA,NA,NA,105,74,NA,48
v Pakistan1,v Pakistan,29.88,0,33,18.5,13,0.5,NA,4,37.33,33.83,38.13,23,30.46
v Scotland1,v Scotland,NA,NA,29,NA,NA,NA,NA,NA,NA,31.5,44,NA,27.66
v South Africa1,v South Africa,31.37,NA,12.33,NA,7,3,NA,NA,8.33,19.8,29.35,41,23.5
v Sri Lanka1,v Sri Lanka,15.44,35,19.27,NA,0,2.66,3,NA,NA,47.4,36.92,14.5,21.44
v U.A.E.1,v U.A.E.,NA,45,40.6,NA,39,NA,NA,NA,NA,29.5,31,NA,102.33
v West Indies1,v West Indies,28.07,9.5,47.66,NA,4,2,NA,13,NA,67,28.65,14.5,45.5
v Zimbabwe1,v Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA